events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event,z_thr,aftershock_gap,aftershock_win,n_picks,hold_hours,target_risk
56,448,0.7949252469621799,0.13780209285870293,-0.3390340665297753,0.7601185599756847,0.018320457004806605,0.6584821428571429,2.082302434535869,0.7142857142857143,1.886318990289725,0.011815897838867159,-0.2022527065629136,0.11185828634949889,2.0,48.0,72.0,8,12,0.06
56,448,1.2913266904492806,0.2007963374649122,-0.5101807608829269,0.743159291198058,0.018320457004806605,0.6584821428571429,2.082302434535869,0.7142857142857143,1.8650308023200368,0.019002565631112984,-0.33708784427152266,0.18643047724916484,2.0,48.0,72.0,8,12,0.1
56,448,1.0252318739171575,0.1685233743283585,-0.21750987742644645,0.9459304820240216,0.035231648086166543,0.6116071428571429,2.4044973754726944,0.6607142857142857,2.148690643872613,0.013689677552908492,-0.14147055591331695,0.11980065119538778,2.0,48.0,72.0,8,24,0.06
56,448,1.9453337851240753,0.2692161187793163,-0.34836885241744553,0.9430614874815764,0.035231648086166543,0.6116071428571429,2.4044973754726944,0.6607142857142857,2.1429270563065868,0.022701648685531838,-0.23578425985552826,0.19966775199231296,2.0,48.0,72.0,8,24,0.1
56,448,0.5842974064299886,0.10688610535825771,-0.2778813505202068,0.6731223202549014,0.05214283916752649,0.609375,1.9635346234531157,0.6428571428571429,1.6810058670153523,0.009338243321625545,-0.1300523354507098,0.1241951369663633,2.0,48.0,72.0,8,36,0.06
56,448,0.9750717452913242,0.16207356703517162,-0.42977851663286726,0.6681826670832924,0.05214283916752649,0.609375,1.9635346234531157,0.6428571428571429,1.6751459288318382,0.015429815577233635,-0.21675389241784968,0.20699189494393883,2.0,48.0,72.0,8,36,0.1
93,279,1.833345109692424,0.25840423558236436,-0.4173138483626223,1.0421984206143218,0.03042504466869668,0.6415770609318996,2.265706837954943,0.6559139784946236,1.9114255626006518,0.012558154227598615,-0.14289977212715282,0.13072010661041444,2.0,48.0,96.0,3,12,0.06
93,279,3.6590900420620915,0.4043993546798168,-0.6057408287438927,1.0386152596325573,0.03042504466869668,0.6415770609318996,2.265706837954943,0.6559139784946236,1.9117716058401417,0.02052192683035242,-0.23816628687858804,0.21786684435069076,2.0,48.0,96.0,3,12,0.1
93,279,2.073212251968344,0.28117711604739926,-0.354656287780566,1.1623189940389287,0.05850970128595515,0.5913978494623656,2.5194767777886997,0.6559139784946236,2.1913654614853875,0.01309160644827681,-0.15261544775517705,0.12312258055699156,2.0,48.0,96.0,3,24,0.06
93,279,4.579450201815691,0.4613992791459678,-0.5359203973650795,1.1599379334096451,0.05850970128595515,0.5913978494623656,2.5194767777886997,0.6559139784946236,2.188480882010761,0.021766514252739264,-0.2543590795919618,0.2052043009283193,2.0,48.0,96.0,3,24,0.1
93,279,0.7999017261222126,0.13849754318848984,-0.5804398954688523,0.6747929598687233,0.08659435790321363,0.5949820788530465,1.8267419417697532,0.5806451612903226,1.4827548799893044,0.00800224119309554,-0.22951926911269804,0.1744789944767776,2.0,48.0,96.0,3,36,0.06
93,279,1.3182613107458447,0.20389736370679712,-0.7773286060454665,0.6747929598687233,0.08659435790321363,0.5949820788530465,1.8267419417697532,0.5806451612903226,1.4827548799893056,0.013337068655159231,-0.38253211518783015,0.29079832412796264,2.0,48.0,96.0,3,36,0.1
93,465,1.4222360326843875,0.21561093881630855,-0.4295694115066546,0.9200240036648513,0.03042504466869668,0.6301075268817204,2.046436396663757,0.6559139784946236,1.7586130317376123,0.01091396153273053,-0.17445558672682882,0.12931549154496058,2.0,48.0,96.0,5,12,0.06
93,465,2.795729109971829,0.34229347092916296,-0.6151840040793559,0.9425721828364334,0.03042504466869668,0.6301075268817204,2.046436396663757,0.6559139784946236,1.784331479532689,0.018351494100483718,-0.2907593112113813,0.21552581924160097,2.0,48.0,96.0,5,12,0.1
93,465,2.031618638574508,0.27732997369176937,-0.359849936840714,1.161422910083184,0.05850970128595515,0.6086021505376344,2.3208275953739483,0.6666666666666666,2.090027089336966,0.013020664327821764,-0.16478822916752978,0.13005423037005204,2.0,48.0,96.0,5,24,0.06
93,465,4.475611571163599,0.45535281233326064,-0.5424273600261649,1.1602232982025635,0.05850970128595515,0.6086021505376344,2.3208275953739483,0.6666666666666666,2.0881554707984287,0.0216638455752623,-0.2746470486125497,0.2167570506167534,2.0,48.0,96.0,5,24,0.1
93,465,0.860161634766845,0.14680202548502308,-0.5241999333757745,0.7166250285692624,0.08659435790321363,0.589247311827957,1.7532847262666018,0.6559139784946236,1.5008451005334726,0.008305660181094169,-0.24576047741990778,0.1317173986805562,2.0,48.0,96.0,5,36,0.06
93,465,1.4605623620197923,0.21982991167719246,-0.725194637129579,0.7165451717518946,0.08659435790321363,0.589247311827957,1.7532847262666018,0.6559139784946236,1.5007837050094106,0.013841070068727084,-0.4096007956998463,0.21952899780092702,2.0,48.0,96.0,5,36,0.1
93,744,1.3553019089694955,0.20811637341172307,-0.4576058756143637,0.8884688673185097,0.03042504466869668,0.6263440860215054,1.9693676166327834,0.6666666666666666,1.717655126375343,0.010634976650334345,-0.2022527065629136,0.11867845607406585,2.0,48.0,96.0,8,12,0.06
93,744,2.7444470162930754,0.33826992524383215,-0.6275806328678952,0.9356122742455008,0.03042504466869668,0.6263440860215054,1.9693676166327834,0.6666666666666666,1.7725443369939418,0.018226144765310096,-0.33708784427152266,0.19779742679010978,2.0,48.0,96.0,8,12,0.1
93,744,2.004556297241242,0.2748047367233184,-0.37135664968913307,1.1496394718799239,0.05850970128595515,0.6182795698924731,2.1874218363368247,0.6774193548387096,2.0156718688128334,0.012942434968088565,-0.14502821920882666,0.11980065119538778,2.0,48.0,96.0,8,24,0.06
