total_return,cagr,max_dd,sharpe,cycles,cycle_winrate,cycle_pf,lookback,skip,n_side,rebal,use_resid
15.66296501019908,0.874704123495911,-0.39072534669739467,1.5214495119063731,233,0.4678111587982833,2.053979516257609,30,0,10,7,False
4.637768842092209,0.4716116880457384,-0.4369924914797423,1.0753157889144096,233,0.45493562231759654,1.696907818305155,30,0,10,7,True
3.6463460797845695,0.4093830663300082,-0.5946687081200808,0.834459003906255,544,0.43566176470588236,1.2516015651382282,30,2,5,3,False
4.818207658257916,0.48200511090238796,-0.5343004414855163,0.9215005889335947,544,0.45955882352941174,1.2987596155429102,30,2,5,3,True
3.664262287815614,0.4105953012519161,-0.5677482627247978,0.843869477776863,233,0.49356223175965663,1.4155405576883056,30,2,5,7,False
3.185848475358595,0.3769019403285856,-0.5573394917210011,0.8221455789318843,233,0.45493562231759654,1.4407933430952664,30,2,5,7,True
9.34154063814476,0.6852050752115841,-0.40068399501650753,1.3441089708453327,544,0.4430147058823529,1.4615132665685582,30,2,10,3,False
3.1652911453092027,0.37538841910980336,-0.4065958958482385,0.9643711385679682,544,0.4172794117647059,1.3326730585875686,30,2,10,3,True
8.207358586206908,0.6420352070816135,-0.41831168953414977,1.2661945810694997,233,0.41630901287553645,1.7502457972595287,30,2,10,7,False
6.849457560117509,0.5845365126020168,-0.46730242036782077,1.2510306359054604,233,0.4206008583690987,1.809415092337637,30,2,10,7,True
0.9208262629267487,0.15699019290951344,-0.6660452585369291,0.5512899081844236,544,0.4430147058823529,1.1589112530326076,60,0,5,3,False
-0.15566354290903417,-0.0370938144664289,-0.7387820632248177,0.2610977224699059,544,0.42830882352941174,1.0741742873774047,60,0,5,3,True
2.342399284608401,0.3093982197620133,-0.5247776866131225,0.715632471437318,233,0.4721030042918455,1.3922057386612985,60,0,5,7,False
0.7425391979463212,0.1320845291452557,-0.5158990962755795,0.512589355534352,233,0.44206008583690987,1.3000001422039098,60,0,5,7,True
3.16205087519402,0.3751493271837003,-0.5155308559493795,0.9087517298826162,544,0.41544117647058826,1.311123739249915,60,0,10,3,False
1.7031297708345008,0.24875341018515784,-0.4374926689205344,0.7239203670019262,544,0.39338235294117646,1.2555334652286427,60,0,10,3,True
2.0747989130678035,0.28521436114506793,-0.5219786868191643,0.7674198274157977,233,0.44206008583690987,1.4035572479696545,60,0,10,7,False
0.4606464487856621,0.08832466341513912,-0.48524093481160324,0.41455966491656865,233,0.3905579399141631,1.2059588615318717,60,0,10,7,True
-0.035785747268121004,-0.008107840227891683,-0.7371237530617482,0.3191013462532259,544,0.4209558823529412,1.087325523111215,60,2,5,3,False
-0.6997329881251885,-0.23567497554253658,-0.8503290008091531,-0.11646375792863695,544,0.4007352941176471,0.9685277103389575,60,2,5,3,True
